2023-11-07 21:46:17 - Rejected bean name 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$EnableWebMvcConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'requestMappingHandlerAdapter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'requestMappingHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcValidator': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcContentNegotiationManager': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcPathMatcher': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcUrlPathHelper': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'viewControllerHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'beanNameHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'resourceHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcResourceUrlProvider': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'defaultServletHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcConversionService': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcUriComponentsContributor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'httpRequestHandlerAdapter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'simpleControllerHandlerAdapter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'handlerExceptionResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcViewResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mvcHandlerMappingIntrospector': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'faviconHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'faviconRequestHandler': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'defaultViewResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'viewResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'welcomePageHandlerMapping': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'requestContextFilter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'hiddenHttpMethodFilter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'httpPutFormContentFilter': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'mbeanExporter': no URL paths identified
